reference_contract,paper_figure,paper_page,paper_panel,case_id,include_sio_s,quantity,species,segment_index,transport_regime,point_index,vector_x,vector_y,log10_pressure_bar,pressure_bar,log10_mixing_ratio,mixing_ratio
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,28,268.891687,324.843513,5.048242898704055,111748.8078454233,-2.880921145955156,0.0013154636568102763
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,29,268.992072,324.753883,5.043927259675242,110643.84502099632,-2.898364379277187,0.0012636756606281376
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,30,269.192843,324.567453,5.035295938626742,108466.57794058272,-2.934646226741494,0.001162395107238557
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,31,269.296814,324.474238,5.030826134318682,107355.95369090237,-2.9527871504736476,0.0011148407878127826
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,32,269.3972,324.381023,5.026510452298993,106294.41651722933,-2.9709280742058004,0.0010692319456881154
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,33,269.497585,324.284223,5.022194813270179,105243.38625605477,-2.9897666883480873,0.0010238428733625063
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,34,269.601556,324.183837,5.017725008962119,104165.76530484823,-3.0093031875142784,0.0009788064273366678
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,35,269.701941,324.087037,5.013409369933307,103135.78296804329,-3.0281418016565538,0.0009372559331690653
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,36,270.006683,323.782295,5.000308244576744,100071.0011306189,-3.0874487949514666,0.0008176194328473014
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,37,270.107068,323.67474,4.995992605547931,99081.50747798434,-3.1083804803241204,0.000779147209654315
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,38,270.211039,323.570769,4.99152280123987,98066.97998952393,-3.1286146699004336,0.0007436786781438953
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,1,convective,0,270.311424,323.459628,4.987207162211059,97097.30192958371,-3.150244240296991,0.0007075477588868183
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,1,convective,1,274.06871,321.688541,4.825678147876133,66938.83472674777,-3.4949221804355255,0.00031994683588090864
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,1,convective,2,277.825995,319.670076,4.664149176532083,46147.60605171346,-3.8877432888518353,0.00012949610657974985
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,1,convective,3,281.479309,317.454425,4.507090009496093,32143.266533505874,-4.318939510576611,4.798002715457764e-05
